nombre,linea,latitud,longitud,estaciones,ID
SANTA ANA,Linea 5,-33.4383757138624,-70.6596648150306,SANTA ANA,117
PLAZA DE ARMAS,Linea 5,-33.4375859704784,-70.6507579492033,PLAZA DE ARMAS,118
BELLAS ARTES,Linea 5,-33.4362986411631,-70.6432741403911,BELLAS ARTES,119
BAQUEDANO,Linea 1,-33.4373094107511,-70.633288271414,BAQUEDANO,120
PARQUE BUSTAMANTE,Linea 5,-33.4413791890142,-70.632197885255,PARQUE BUSTAMANTE,121
SANTA ISABEL,Linea 5,-33.4471521955106,-70.630263920306,SANTA ISABEL,122
,,,,IRARRÁZAVAL,123
,,,,ÑUBLE,124
RODRIGO DE ARAYA,Linea 5,-33.4766893676758,-70.6224711577377,RODRIGO DE ARAYA,125
,,,,CARLOS VALDOVINOS,126
,,,,CAMINO AGRÍCOLA,127
,,,,SAN JOAQUÍN,128
PEDRERO,Linea 5,-33.5079730072836,-70.6131830231273,PEDRERO,129
MIRADOR,Linea 5,-33.5131093364346,-70.6061307671229,MIRADOR,130
,,,,BELLAVISTA DE LA FLORIDA,131
,,,,VICENTE VALDÉS,132
CERRILLOS,Linea 6,-33.4833088251866,-70.695292499727,CERRILLOS,133
LO VALLEDOR,Linea 6,-33.4762926087901,-70.6802960685304,LO VALLEDOR,134
,,,,PRESIDENTE PEDRO AGUIRRE CERDA,135
FRANKLIN,Linea 2,-33.476478030003,-70.6491927538438,FRANKLIN,136
,,,,BÍO BÍO,137
,,,,ÑUBLE,138
ESTADIO NACIONAL,Linea 6,-33.4624574528369,-70.6063873907723,ESTADIO NACIONAL,139
ÑUÑOA,Linea 3,-33.4541694552221,-70.6050080334914,ÑUÑOA,140
,,,,INÉS DE SUÁREZ,141
LOS LEONES,Linea 1,-33.422637924811,-70.6089251611236,LOS LEONES,142
