stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG61,,PG61-Parada 8 / (M) La Cisterna,-33.537927,-70.664454,,0
PG62,,PG62-Parada / Paradero 23 Gran Avenida,-33.533450,-70.663174,,0
PG63,,PG63-Parada / Iglesia Don Bosco,-33.532185,-70.662826,,0
PG64,,PG64-Parada 2 / Paradero 22 Gran Avenida,-33.529534,-70.662082,,0
PG65,,PG65-Parada 2 / (M) El Parrón,-33.526867,-70.661382,,0
PG66,,PG66-Parada 2 / Paradero 2 Gran Avenida,-33.524346,-70.660691,,0
PG67,,PG67-Parada 2 / Paradero 19 Gran Avenida,-33.520820,-70.659661,,0
PG68,,PG68-Parada / (M) Lo Ovalle,-33.518837,-70.659107,,0
PG69,,PG69-Parada 2 / Paradero 17 Gran Avenida,-33.515005,-70.658001,,0
PH124,,PH124-Parada / Paradero 15 Gran Avenida,-33.511575,-70.657034,,0
PH125,,PH125-Parada / Paradero 14 Gran Avenida,-33.508262,-70.656125,,0
PH126,,PH126-Parada / Paradero 13 Gran Avenida,-33.505460,-70.655340,,0
PH127,,PH127-Parada 2 / (M) Departamental,-33.503890,-70.654901,,0
PH128,,PH128-Parada / Colegio Chile,-33.501144,-70.654077,,0
PH129,,PH129-Parada 2 / Paradero 11 Gran Avenida,-33.498497,-70.653337,,0
PH130,,PH130-Parada / Paradero 9 1/2 Gran Avenida,-33.495301,-70.652433,,0
PH131,,PH131-Parada / Paradero 9 Gran Avenida,-33.492945,-70.651778,,0
PH132,,PH132-Parada 2 / Paradero 8 Gran Avenida,-33.490278,-70.651119,,0
PH133,,PH133-Parada 2 / Muni.San Miguel,-33.487005,-70.650219,,0
PH134,,PH134-Parada 2 / Hospital Barros Luco,-33.484607,-70.649571,,0
PH135,,PH135-Parada 2 / Paradero 3 Gran Avenida,-33.479903,-70.648195,,0
PA63,,PA63-Parada 2 / (M) Franklin,-33.475871,-70.648133,,0
PA64,,PA64-San Diego / Esq. Schiavett,-33.472969,-70.648293,,0
PA65,,PA65-San Diego / Esq. Ñuble,-33.469923,-70.648452,,0
PA66,,PA66-Parada / Liceo Barros Borgoño,-33.466323,-70.648674,,0
PA67,,PA67-San Diego / Esq. Santiago,-33.462920,-70.648848,,0
PA68,,PA68-San Diego / Esq. Av. Manuel A. Matta,-33.459783,-70.649045,,0
PA69,,PA69-Parada / Teatro Caupolicán,-33.455835,-70.649659,,0
PA70,,PA70-San Diego / Esq. Eyzaguirre,-33.453439,-70.650041,,0
PA72,,PA72-Parada 2 / (M) Pque. Almagro,-33.450662,-70.650464,,0
PA717,,PA717-Tarapacá / Esq. Zenteno,-33.447524,-70.652075,,0
PA212,,PA212-Tarapacá / Esq. Lord Cochrane,-33.447749,-70.654015,,0
PA720,,PA720-Lord Cochrane / Esq. Alameda,-33.445565,-70.655306,,0
PA218,,PA218-Hermanos Amunátegui / Esq. Moneda,-33.442644,-70.655975,,0
PA718,,PA718-Hermanos Amunátegui / Esq. Catedral,-33.438227,-70.656758,,0
PA719,,PA719-Hermanos Amunátegui / Esq. San Pablo,-33.434868,-70.657235,,0
PA87,,PA87-Parada 7 / Estación Mapocho,-33.432999,-70.652391,,0
PB211,,PB211-Parada / Vega Central,-33.430632,-70.651596,,0
PB212,,PB212-Parada / Terminal Lastra,-33.428852,-70.651406,,0
PB587,,PB587-Echeverría / Esq. Residencial,-33.424965,-70.651884,,0
PB214,,PB214-Echeverría / Esq. Av. Independencia,-33.425105,-70.654277,,0
PB1952,,PB1952-Parada 5 / Hospital Clínico U. De Chile,-33.420215,-70.655805,,0
