Comuna;TOTAL
NUNOA;4
NUNOA;492
NUNOA;743
NUNOA;6
NUNOA;1
NUNOA;16
NUNOA;848
NUNOA;308
NUNOA;6
NUNOA;3
NUNOA;309
NUNOA;417
NUNOA;445
NUNOA;722
NUNOA;1.403
NUNOA;1
NUNOA;2
NUNOA;1.464
NUNOA;7
NUNOA;9
NUNOA;2
NUNOA;0
NUNOA;1
NUNOA;8
NUNOA;98
NUNOA;827
NUNOA;194
NUNOA;4
NUNOA;19
NUNOA;923
LA REINA;785
LA REINA;602
LA REINA;5
LA REINA;166
LA REINA;48
LA REINA;1
LA REINA;0
LA REINA;114
LA REINA;143
LA REINA;248
LA REINA;250
LA REINA;31
LA REINA;28
LA REINA;23
LA REINA;3
LA REINA;0
LA REINA;210
LA REINA;100
LA REINA;3
LA REINA;128
LA REINA;58
LA REINA;163
LA REINA;1
CONCHALI;6
CONCHALI;33
CONCHALI;211
CONCHALI;11
CONCHALI;116
CONCHALI;156
CONCHALI;29
SANTIAGO;232
SANTIAGO;110
SANTIAGO;4
SANTIAGO;40
SANTIAGO;61
SANTIAGO;67
SANTIAGO;13
SANTIAGO;3
SANTIAGO;1
SANTIAGO;1
SANTIAGO;220
SANTIAGO;0
SANTIAGO;0
SANTIAGO;1
SANTIAGO;2
SANTIAGO;335
SANTIAGO;155
SANTIAGO;14
SANTIAGO;166
SANTIAGO;1
SANTIAGO;17
SANTIAGO;119
SANTIAGO;99
SANTIAGO;1
SANTIAGO;1
SANTIAGO;44
SANTIAGO;17
SANTIAGO;146
SANTIAGO;317
SANTIAGO;3
SANTIAGO;64
SANTIAGO;6
SANTIAGO;0
SANTIAGO;2
SANTIAGO;161
SANTIAGO;7
SANTIAGO;584
SANTIAGO;101
SANTIAGO;6
SANTIAGO;0
SANTIAGO;1
SANTIAGO;1
SANTIAGO;0
SANTIAGO;56
SANTIAGO;17
SANTIAGO;2
SANTIAGO;22
SANTIAGO;0
SANTIAGO;1
SANTIAGO;4
SANTIAGO;8
SANTIAGO;4
SANTIAGO;18
SANTIAGO;2
SANTIAGO;26
SANTIAGO;1
SANTIAGO;57
SANTIAGO;4
SANTIAGO;4
SANTIAGO;3
SANTIAGO;13
SANTIAGO;27
SANTIAGO;3
SANTIAGO;4
SANTIAGO;551
SANTIAGO;112
SANTIAGO;51
SANTIAGO;196
SANTIAGO;388
SANTIAGO;170
SANTIAGO;646
SANTIAGO;372
SANTIAGO;470
SANTIAGO;588
SANTIAGO;154
SANTIAGO;50
SANTIAGO;368
SANTIAGO;323
SANTIAGO;276
SANTIAGO;820
SANTIAGO;30
SANTIAGO;15
SANTIAGO;55
SANTIAGO;15
SANTIAGO;32
SANTIAGO;56
SANTIAGO;234
SANTIAGO;198
SANTIAGO;468
SANTIAGO;102
SANTIAGO;23
SANTIAGO;26
SANTIAGO;142
SANTIAGO;76
SANTIAGO;31
SANTIAGO;89
SANTIAGO;112
SANTIAGO;138
SANTIAGO;123
SANTIAGO;110
SANTIAGO;3
